state,county,beneficiaries_with_part_a_and_part_b,ffs_beneficiaries,ma_beneficiaries,ma_participation_rate,average_age,percent_female,percent_male,percent_non-hispanic_white,percent_african_american,percent_hispanic,percent_other/unknown,percent_eligible_for_medicaid
TN,Sevier,"21,267","11,212","10,055",47.28,71,53.54,46.46,96.57,0.37,0.96,2.1,15.23
TN,Shelby,"130,817","88,689","42,128",32.2,71,58.17,41.83,58.96,37.6,0.92,2.52,20.28
TN,Smith,"3,807","2,525","1,282",33.67,70,54.81,45.19,96.32,2.18,0.55,0.95,22.34
TN,Stewart,"3,148","2,432",716,22.74,71,53.13,46.88,0.0,0.0,0.0,0.0,19.33
TN,Sullivan,"40,057","15,660","24,397",60.91,70,54.2,45.8,96.1,1.74,0.37,1.79,19.97
TN,Sumner,"30,237","15,770","14,467",47.85,71,56.09,43.91,91.95,5.08,0.98,1.98,15.14
TN,Tipton,"10,003","7,353","2,650",26.49,70,54.77,45.23,85.75,12.4,0.54,1.31,17.38
TN,Trousdale,"1,673",986,687,41.06,69,54.46,45.54,0.0,0.0,0.0,0.0,27.69
TN,UNKNOWN,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Unicoi,"4,901","2,432","2,469",50.38,72,54.15,45.85,0.0,0.0,0.0,0.0,24.05
TN,Union,"4,342","1,803","2,539",58.48,67,48.25,51.75,0.0,0.0,0.0,0.0,31.0
TN,Van Buren,"1,583","1,200",383,24.19,70,50.75,49.25,0.0,0.0,0.0,0.0,28.92
TN,Warren,"8,930","6,313","2,617",29.31,71,54.84,45.16,95.12,2.47,1.05,1.36,23.6
TN,Washington,"26,230","12,980","13,250",50.51,71,54.57,45.43,94.98,2.47,0.65,1.91,17.98
TN,Wayne,"3,808","2,737","1,071",28.13,71,52.39,47.61,98.43,0.69,0.4,0.47,25.32
TN,Weakley,"6,975","5,379","1,596",22.88,72,57.09,42.91,94.05,4.55,0.35,1.04,25.25
TN,White,"6,529","4,663","1,866",28.58,71,53.89,46.11,96.7,1.35,0.94,1.01,22.9
TN,Williamson,"26,955","16,475","10,480",38.88,73,55.56,44.44,90.93,3.96,1.5,3.62,6.42
TN,Wilson,"22,242","13,137","9,105",40.94,71,55.26,44.74,91.64,5.18,0.84,2.34,12.45
TX,Anderson,"9,522","6,809","2,713",28.49,71,55.16,44.84,81.66,12.82,4.36,1.16,21.96
TX,Andrews,"1,926","1,511",415,21.55,72,55.0,45.0,0.0,0.0,0.0,0.0,20.71
TX,Angelina,"16,289","11,676","4,613",28.32,71,54.45,45.55,81.27,11.82,5.8,1.11,22.97
TX,Aransas,"7,161","4,336","2,825",39.45,72,51.78,48.22,88.33,0.71,8.0,2.95,13.42
TX,Archer,"1,741","1,487",254,14.59,72,53.53,46.47,0.0,0.0,0.0,0.0,13.38
TX,Armstrong,409,337,72,17.6,74,57.57,42.43,0.0,0.0,0.0,0.0,15.73
TX,Atascosa,"7,736","4,148","3,588",46.38,70,51.86,48.14,57.79,0.8,40.36,1.06,26.01
TX,Austin,"5,519","4,131","1,388",25.15,73,54.1,45.9,83.47,7.12,7.94,1.48,13.85
TX,Bailey,"1,036",859,177,17.08,73,54.48,45.52,0.0,0.0,0.0,0.0,24.1
TX,Bandera,"5,373","3,902","1,471",27.38,72,50.85,49.15,90.06,0.33,8.0,1.61,10.07
TX,Bastrop,"12,718","8,963","3,755",29.53,71,52.2,47.8,78.47,7.5,12.08,1.95,17.32
TX,Baylor,"1,028",860,168,16.34,72,53.84,46.16,92.44,2.56,3.6,1.4,24.19
TX,Bee,"4,300","2,604","1,696",39.44,71,54.65,45.35,53.23,1.65,43.28,1.84,26.88
TX,Bell,"41,276","26,936","14,340",34.74,68,53.23,46.77,62.29,19.89,12.58,5.24,18.67
TX,Bexar,"254,499","131,717","122,782",48.24,71,54.47,45.53,55.32,7.81,33.41,3.46,14.67
TX,Blanco,"2,578","1,984",594,23.04,73,52.92,47.08,89.47,0.6,7.11,2.82,10.28
TX,Borden,115,96,19,16.52,74,53.13,46.88,0.0,0.0,0.0,0.0,0.0
TX,Bosque,"4,528","2,935","1,593",35.18,72,51.99,48.01,91.31,1.67,5.96,1.06,15.98
TX,Bowie,"17,393","13,288","4,105",23.6,70,55.64,44.36,78.1,19.16,1.2,1.54,20.95
TX,Brazoria,"41,631","26,104","15,527",37.3,72,54.77,45.23,74.71,9.35,11.83,4.12,14.06
TX,Brazos,"19,116","14,799","4,317",22.58,72,55.52,44.48,74.95,11.39,11.17,2.49,15.74
TX,Brewster,"1,920","1,382",538,28.02,72,50.72,49.28,0.0,0.0,0.0,0.0,18.23
TX,Briscoe,401,324,77,19.2,75,53.4,46.6,0.0,0.0,0.0,0.0,14.51
TX,Brooks,"1,549",960,589,38.02,70,54.48,45.52,0.0,0.0,0.0,0.0,47.71
TX,Brown,"8,453","6,704","1,749",20.69,71,52.85,47.15,88.13,2.19,8.56,1.12,24.22
TX,Burleson,"3,870","2,767","1,103",28.5,72,51.9,48.1,79.22,11.67,7.77,1.34,17.38
TX,Burnet,"10,953","7,909","3,044",27.79,73,53.82,46.18,92.36,0.72,5.12,1.8,10.49
TX,Caldwell,"6,433","4,495","1,938",30.13,71,53.33,46.67,64.89,6.12,27.41,1.58,22.07
TX,Calhoun,"3,831","3,259",572,14.93,72,52.78,47.22,67.38,3.59,26.94,2.09,17.67
TX,Callahan,"2,985","2,243",742,24.86,73,53.59,46.41,94.65,0.76,3.25,1.34,16.14
TX,Cameron,"55,789","30,483","25,306",45.36,71,54.49,45.51,28.38,0.42,69.88,1.32,47.19
TX,Camp,"2,623","1,882",741,28.25,71,52.5,47.5,77.79,16.68,4.41,1.12,19.82
