state,county,beneficiaries_with_part_a_and_part_b,ffs_beneficiaries,ma_beneficiaries,ma_participation_rate,average_age,percent_female,percent_male,percent_non-hispanic_white,percent_african_american,percent_hispanic,percent_other/unknown,percent_eligible_for_medicaid
GA,Appling,"3,549","2,486","1,063",29.95,70,53.46,46.54,81.58,16.21,1.25,0.97,28.2
GA,Atkinson,"1,316",885,431,32.75,69,49.49,50.51,78.42,17.63,2.71,1.24,34.46
GA,Bacon,"2,047","1,371",676,33.02,70,54.92,45.08,0.0,0.0,0.0,0.0,29.69
GA,Baker,653,433,220,33.69,69,49.88,50.12,0.0,0.0,0.0,0.0,36.95
GA,Baldwin,"7,942","4,157","3,785",47.66,68,52.63,47.37,67.74,29.37,0.65,2.24,21.31
GA,Banks,"3,416","2,200","1,216",35.6,70,52.41,47.59,95.5,1.73,1.59,1.18,26.05
GA,Barrow,"10,862","6,614","4,248",39.11,69,54.93,45.07,85.74,9.01,2.45,2.8,21.12
GA,Bartow,"16,636","10,931","5,705",34.29,69,54.88,45.12,88.89,8.07,1.46,1.57,21.56
GA,Ben Hill,"3,587","2,373","1,214",33.84,69,52.47,47.53,72.48,25.83,1.1,0.59,32.11
GA,Berrien,"3,597","2,468","1,129",31.39,69,53.57,46.43,89.87,8.39,1.05,0.69,31.16
GA,Bibb,"28,164","17,117","11,047",39.22,70,56.42,43.58,60.59,37.05,0.53,1.83,21.88
GA,Bleckley,"2,435","1,837",598,24.56,71,55.09,44.91,0.0,0.0,0.0,0.0,20.79
GA,Brantley,"3,165","2,277",888,28.06,68,50.11,49.89,94.73,2.94,0.88,1.45,26.39
GA,Brooks,"3,339","2,332","1,007",30.16,71,55.96,44.04,68.91,29.12,0.73,1.24,32.12
GA,Bryan,"4,678","2,995","1,683",35.98,70,53.06,46.94,83.57,11.49,1.77,3.17,13.26
GA,Bulloch,"9,170","6,400","2,770",30.21,70,54.05,45.95,77.91,20.14,0.55,1.41,22.7
GA,Burke,"4,160","2,443","1,717",41.27,69,53.34,46.66,58.9,39.13,0.94,1.02,31.23
GA,Butts,"4,324","2,431","1,893",43.78,70,54.71,45.29,80.87,16.74,1.4,0.99,20.86
GA,Calhoun,"1,122",711,411,36.63,70,54.01,45.99,50.63,47.82,0.0,1.55,37.41
GA,Camden,"7,310","5,512","1,798",24.6,70,52.76,47.24,80.68,14.8,2.01,2.5,15.04
GA,Candler,"2,145","1,388",757,35.29,69,52.16,47.84,0.0,0.0,0.0,0.0,36.38
GA,Carroll,"18,987","12,073","6,914",36.41,69,54.95,45.05,83.43,13.6,1.41,1.56,23.12
GA,Catoosa,"12,346","8,362","3,984",32.27,71,57.44,42.56,96.38,1.38,0.8,1.45,18.3
GA,Charlton,"1,934","1,414",520,26.89,69,51.34,48.66,0.0,0.0,0.0,0.0,27.65
GA,Chatham,"44,066","26,739","17,327",39.32,72,55.09,44.91,69.66,26.14,1.28,2.92,14.59
GA,Chattahoochee,553,352,201,36.35,69,50.57,49.43,0.0,0.0,0.0,0.0,23.58
GA,Chattooga,"5,533","3,474","2,059",37.21,69,53.08,46.92,92.89,5.96,0.4,0.75,29.3
GA,Cherokee,"32,985","20,601","12,384",37.54,72,55.72,44.28,91.59,3.36,2.12,2.93,8.91
GA,Clarke,"14,916","9,735","5,181",34.73,70,56.33,43.67,70.27,25.03,1.81,2.89,21.6
GA,Clay,750,473,277,36.93,70,53.49,46.51,0.0,0.0,0.0,0.0,30.66
GA,Clayton,"29,653","14,834","14,819",49.97,67,54.88,45.12,38.2,51.53,3.43,6.84,26.67
GA,Clinch,"1,384",943,441,31.86,68,51.22,48.78,0.0,0.0,0.0,0.0,38.49
GA,Cobb,"86,503","54,270","32,233",37.26,72,56.62,43.38,78.73,14.16,2.71,4.4,10.88
GA,Coffee,"6,711","4,532","2,179",32.47,69,54.02,45.98,76.96,19.9,1.77,1.37,29.61
GA,Colquitt,"8,425","5,770","2,655",31.51,70,52.27,47.73,80.66,15.93,2.34,1.07,28.86
GA,Columbia,"19,113","13,259","5,854",30.63,72,54.18,45.82,81.18,11.42,1.98,5.42,9.23
GA,Cook,"3,233","2,213","1,020",31.55,70,54.36,45.64,79.39,19.16,0.54,0.9,29.91
GA,Coweta,"19,688","12,323","7,365",37.41,71,54.89,45.11,81.6,14.66,1.5,2.25,13.57
GA,Crawford,"2,489","1,512",977,39.25,69,51.06,48.94,0.0,0.0,0.0,0.0,23.21
GA,Crisp,"4,218","2,656","1,562",37.03,70,55.57,44.43,0.0,0.0,0.0,0.0,30.46
GA,Dade,"3,338","2,248","1,090",32.65,70,55.07,44.93,97.46,0.71,0.58,1.25,23.31
GA,Dawson,"4,284","2,929","1,355",31.63,71,53.02,46.98,0.0,0.0,0.0,0.0,15.47
GA,DeKalb,"86,104","45,049","41,055",47.68,70,56.4,43.6,49.3,44.26,1.94,4.5,20.11
GA,Decatur,"5,360","3,721","1,639",30.58,70,54.96,45.04,68.45,30.05,0.75,0.75,29.05
GA,Dodge,"3,858","2,675","1,183",30.66,69,55.51,44.49,78.24,20.41,0.45,0.9,30.73
GA,Dooly,"2,120","1,355",765,36.08,70,53.28,46.72,63.1,34.91,1.11,0.89,28.93
GA,Dougherty,"16,110","10,587","5,523",34.28,70,55.2,44.8,51.75,45.99,0.75,1.51,26.77
GA,Douglas,"17,677","10,501","7,176",40.6,69,55.87,44.13,70.34,24.98,2.35,2.33,19.15
GA,Early,"2,276","1,456",820,36.03,70,53.37,46.63,0.0,0.0,0.0,0.0,32.49
GA,Echols,464,342,122,26.29,71,53.8,46.2,0.0,0.0,0.0,0.0,29.53
GA,Effingham,"7,697","5,205","2,492",32.38,70,52.51,47.49,86.67,10.51,1.4,1.42,14.79
GA,Elbert,"4,801","3,000","1,801",37.51,71,54.3,45.7,78.5,19.7,0.77,1.03,26.63
GA,Emanuel,"4,621","2,922","1,699",36.77,69,54.11,45.89,71.94,26.42,0.82,0.82,35.69
GA,Evans,"1,987","1,244",743,37.39,71,55.06,44.94,0.0,0.0,0.0,0.0,28.62
GA,Fannin,"7,401","5,509","1,892",25.56,71,52.59,47.41,0.0,0.0,0.0,0.0,17.03
GA,Fayette,"19,537","13,112","6,425",32.89,73,54.83,45.17,79.89,15.05,1.84,3.22,6.8
GA,Floyd,"19,173","13,313","5,860",30.56,70,54.67,45.33,87.31,9.76,1.49,1.43,23.41
GA,Forsyth,"23,115","14,452","8,663",37.48,73,55.79,44.21,90.67,1.82,2.51,5.0,7.65
GA,Franklin,"5,149","3,353","1,796",34.88,70,54.67,45.33,92.72,5.55,0.66,1.07,26.81
GA,Fulton,"114,189","64,692","49,497",43.35,72,56.03,43.97,55.54,38.77,1.66,4.03,18.02
GA,Gilmer,"7,325","5,360","1,965",26.83,71,51.92,48.08,96.18,0.28,1.64,1.9,18.79
GA,Glascock,589,403,186,31.58,71,50.12,49.88,0.0,0.0,0.0,0.0,28.78
GA,Glynn,"16,900","12,062","4,838",28.63,72,54.71,45.29,82.9,13.23,1.52,2.35,14.08
GA,Gordon,"9,578","7,003","2,575",26.88,70,55.53,44.47,93.65,2.9,1.9,1.56,24.38
GA,Grady,"4,799","3,171","1,628",33.92,70,55.25,44.75,73.42,24.6,0.95,1.04,28.76
GA,Greene,"5,129","3,518","1,611",31.41,71,50.8,49.2,81.47,16.03,0.31,2.19,14.27
GA,Gwinnett,"83,762","47,695","36,067",43.06,71,56.11,43.89,70.27,16.09,5.05,8.59,14.81
GA,Habersham,"8,811","5,517","3,294",37.39,72,54.01,45.99,93.87,1.4,1.81,2.92,19.21
GA,Hall,"31,179","20,457","10,722",34.39,72,54.43,45.57,88.25,4.59,4.78,2.39,15.18
GA,Hancock,"2,113","1,071","1,042",49.31,69,49.11,50.89,0.0,0.0,0.0,0.0,30.35
GA,Haralson,"5,911","3,858","2,053",34.73,69,54.02,45.98,94.01,4.2,0.41,1.37,27.86
GA,Harris,"5,928","4,063","1,865",31.46,71,52.92,47.08,81.76,14.69,1.72,1.82,12.65
GA,Hart,"5,985","4,232","1,753",29.29,71,55.6,44.4,87.67,10.21,0.4,1.72,22.26
GA,Heard,"2,120","1,359",761,35.9,69,51.51,48.49,0.0,0.0,0.0,0.0,30.02
GA,Henry,"27,926","16,181","11,745",42.06,70,55.03,44.97,66.28,28.0,2.2,3.52,14.29
GA,Houston,"21,961","17,099","4,862",22.14,71,55.33,44.67,75.17,20.48,1.68,2.67,13.99
GA,Irwin,"1,984","1,362",622,31.35,70,54.33,45.67,80.98,16.67,0.95,1.4,26.87
GA,Jackson,"10,918","7,050","3,868",35.43,70,54.33,45.67,90.21,6.23,1.6,1.96,19.33
GA,Jasper,"2,722","1,706","1,016",37.33,70,50.76,49.24,80.77,17.47,0.64,1.11,22.16
GA,Jeff Davis,"2,662","1,919",743,27.91,69,53.41,46.59,0.0,0.0,0.0,0.0,30.9
GA,Jefferson,"3,591","2,311","1,280",35.64,70,54.22,45.78,0.0,0.0,0.0,0.0,29.9
GA,Jenkins,"1,667","1,022",645,38.69,70,53.23,46.77,0.0,0.0,0.0,0.0,36.3
GA,Johnson,"1,718","1,153",565,32.89,70,54.12,45.88,0.0,0.0,0.0,0.0,36.17
GA,Jones,"5,266","3,108","2,158",40.98,70,53.38,46.62,77.86,20.82,0.45,0.87,15.38
GA,Lamar,"3,689","2,136","1,553",42.1,69,52.34,47.66,79.26,18.96,0.51,1.26,21.21
GA,Lanier,"1,453","1,058",395,27.19,68,48.39,51.61,78.45,17.86,1.7,1.98,33.74
GA,Laurens,"9,740","6,411","3,329",34.18,70,54.55,45.45,72.52,25.47,0.53,1.48,24.32
GA,Lee,"4,048","2,915","1,133",27.99,70,53.48,46.52,83.02,14.03,0.86,2.09,15.23
GA,Liberty,"6,096","4,343","1,753",28.76,68,52.89,47.11,53.53,37.51,4.63,4.33,17.34
GA,Lincoln,"1,900","1,183",717,37.74,71,51.82,48.18,0.0,0.0,0.0,0.0,17.08
GA,Long,"1,404","1,032",372,26.5,67,52.03,47.97,75.1,20.35,2.33,2.23,28.78
GA,Lowndes,"16,220","12,151","4,069",25.09,70,55.53,44.47,68.58,27.56,1.44,2.42,24.07
GA,Lumpkin,"5,642","3,948","1,694",30.02,71,54.13,45.87,96.94,0.56,0.84,1.67,19.43
GA,Macon,"2,231","1,276",955,42.81,69,53.21,46.79,0.0,0.0,0.0,0.0,35.66
GA,Madison,"5,801","3,750","2,051",35.36,69,52.72,47.28,90.27,7.55,1.07,1.12,24.37
GA,Marion,"1,467",880,587,40.01,69,49.2,50.8,0.0,0.0,0.0,0.0,26.48
GA,McDuffie,"4,322","2,274","2,048",47.39,70,52.51,47.49,0.0,0.0,0.0,0.0,21.99
GA,McIntosh,"2,797","1,713","1,084",38.76,71,51.26,48.74,0.0,0.0,0.0,0.0,19.73
GA,Meriwether,"4,772","2,634","2,138",44.8,69,52.81,47.19,69.93,28.59,0.46,1.03,29.38
GA,Miller,"1,263",892,371,29.37,71,55.61,44.39,0.0,0.0,0.0,0.0,31.28
GA,Mitchell,"4,207","2,650","1,557",37.01,70,53.66,46.34,66.0,32.04,0.75,1.21,30.04
GA,Monroe,"5,330","3,593","1,737",32.59,70,52.99,47.01,77.12,20.76,0.45,1.67,18.23
GA,Montgomery,"1,648","1,089",559,33.92,70,54.45,45.55,0.0,0.0,0.0,0.0,31.22
GA,Morgan,"4,028","2,415","1,613",40.04,72,52.88,47.12,82.65,15.24,0.62,1.49,18.14
GA,Murray,"6,972","5,622","1,350",19.36,68,54.2,45.8,0.0,0.0,0.0,0.0,31.59
GA,Muscogee,"31,739","20,665","11,074",34.89,71,57.58,42.42,56.79,38.07,2.42,2.72,18.6
GA,Newton,"15,784","8,926","6,858",43.45,70,56.37,43.63,67.88,29.24,1.15,1.73,20.79
GA,Oconee,"5,672","3,924","1,748",30.82,72,53.7,46.3,91.56,4.71,0.71,3.01,9.79
GA,Oglethorpe,"2,879","1,878","1,001",34.77,70,53.89,46.11,0.0,0.0,0.0,0.0,22.68
GA,Paulding,"17,459","10,737","6,722",38.5,70,55.46,44.54,84.57,11.75,1.9,1.78,15.5
GA,Peach,"4,870","3,256","1,614",33.14,70,54.18,45.82,67.91,29.12,1.57,1.41,19.1
GA,Pickens,"8,088","5,561","2,527",31.24,72,52.81,47.19,97.05,0.5,0.38,2.07,14.26
GA,Pierce,"3,955","2,859","1,096",27.71,70,53.06,46.94,90.42,8.08,0.49,1.01,26.37
GA,Pike,"3,235","2,077","1,158",35.8,71,53.25,46.75,0.0,0.0,0.0,0.0,18.87
GA,Polk,"8,236","5,568","2,668",32.39,70,54.09,45.91,87.14,10.65,1.62,0.59,26.17
GA,Pulaski,"1,988","1,431",557,28.02,71,54.86,45.14,0.0,0.0,0.0,0.0,24.88
GA,Putnam,"5,164","3,448","1,716",33.23,71,50.58,49.42,83.85,13.78,0.73,1.65,14.62
GA,Quitman,713,457,256,35.9,70,51.64,48.36,0.0,0.0,0.0,0.0,26.91
GA,Rabun,"4,638","3,486","1,152",24.84,72,53.73,46.27,0.0,0.0,0.0,0.0,18.36
GA,Randolph,"1,564",937,627,40.09,71,54.32,45.68,0.0,0.0,0.0,0.0,32.44
GA,Richmond,"32,506","19,129","13,377",41.15,70,54.86,45.14,51.91,43.56,1.82,2.72,19.45
GA,Rockdale,"13,569","7,383","6,186",45.59,70,54.95,45.05,60.82,33.81,2.52,2.86,15.98
GA,Schley,753,472,281,37.32,70,54.03,45.97,0.0,0.0,0.0,0.0,24.36
GA,Screven,"2,990","1,931","1,059",35.42,70,53.08,46.92,0.0,0.0,0.0,0.0,29.1
GA,Seminole,"2,243","1,595",648,28.89,70,51.91,48.09,76.8,21.38,0.88,0.94,27.27
GA,Spalding,"13,445","7,975","5,470",40.68,70,55.24,44.76,77.91,19.65,0.7,1.74,22.06
GA,Stephens,"6,167","4,184","1,983",32.16,71,55.23,44.77,90.46,7.72,0.48,1.34,25.53
GA,Stewart,980,519,461,47.04,71,50.67,49.33,0.0,0.0,0.0,0.0,38.34
GA,Sumter,"5,881","3,565","2,316",39.38,70,54.45,45.55,62.78,34.78,0.76,1.68,27.6
GA,Talbot,"1,467",817,650,44.31,70,53.37,46.63,0.0,0.0,0.0,0.0,27.78
GA,Taliaferro,442,245,197,44.57,70,51.02,48.98,0.0,0.0,0.0,0.0,28.57
GA,Tattnall,"3,770","2,327","1,443",38.28,70,53.72,46.28,79.63,16.8,2.36,1.2,30.43
GA,Taylor,"1,729","1,053",676,39.1,70,52.52,47.48,0.0,0.0,0.0,0.0,30.39
GA,Telfair,"2,349","1,563",786,33.46,69,53.93,46.07,0.0,0.0,0.0,0.0,37.36
GA,Terrell,"2,110","1,252",858,40.66,70,52.48,47.52,0.0,0.0,0.0,0.0,29.87
GA,Thomas,"9,823","6,460","3,363",34.24,71,54.75,45.25,72.41,25.68,0.53,1.38,25.7
GA,Tift,"7,170","4,708","2,462",34.34,71,54.57,45.43,76.76,19.52,2.27,1.44,27.0
GA,Toombs,"5,311","3,702","1,609",30.3,70,56.94,43.06,77.77,18.99,1.89,1.35,32.77
GA,Towns,"4,446","3,184","1,262",28.39,73,53.71,46.29,0.0,0.0,0.0,0.0,15.14
GA,Treutlen,"1,334",806,528,39.58,69,52.36,47.64,0.0,0.0,0.0,0.0,34.37
GA,Troup,"11,847","7,931","3,916",33.05,70,55.66,44.34,72.49,25.12,0.79,1.6,25.04
GA,Turner,"1,926","1,140",786,40.81,70,52.46,47.54,0.0,0.0,0.0,0.0,33.16
GA,Twiggs,"2,153","1,235",918,42.64,68,52.39,47.61,0.0,0.0,0.0,0.0,24.05
GA,UNKNOWN,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,Union,"7,577","5,478","2,099",27.7,73,53.29,46.71,0.0,0.0,0.0,0.0,13.64
GA,Upson,"6,239","3,566","2,673",42.84,69,55.36,44.64,0.0,0.0,0.0,0.0,26.58
GA,Walker,"14,037","9,301","4,736",33.74,70,55.97,44.03,95.11,3.43,0.43,1.03,24.74
GA,Walton,"14,706","8,955","5,751",39.11,71,54.97,45.03,86.54,10.68,1.03,1.75,16.26
GA,Ware,"7,838","5,546","2,292",29.24,70,54.56,45.44,78.02,19.67,0.85,1.46,29.9
GA,Warren,"1,293",738,555,42.92,71,53.39,46.61,0.0,0.0,0.0,0.0,31.3
GA,Washington,"4,181","2,349","1,832",43.82,69,52.83,47.17,62.54,36.02,0.55,0.89,23.67
GA,Wayne,"5,656","3,852","1,804",31.9,70,53.58,46.42,85.72,11.81,1.14,1.32,22.85
GA,Webster,511,301,210,41.1,71,47.84,52.16,0.0,0.0,0.0,0.0,23.92
GA,Wheeler,"1,087",698,389,35.79,69,50.43,49.57,0.0,0.0,0.0,0.0,33.81
GA,White,"6,441","4,117","2,324",36.08,72,54.02,45.98,96.77,1.12,0.68,1.43,17.61
GA,Whitfield,"15,649","12,716","2,933",18.74,70,55.27,44.73,88.3,3.5,6.47,1.73,24.62
GA,Wilcox,"1,588","1,051",537,33.82,70,53.19,46.81,0.0,0.0,0.0,0.0,32.16
GA,Wilkes,"2,544","1,665",879,34.55,71,52.97,47.03,0.0,0.0,0.0,0.0,28.23
GA,Wilkinson,"2,186","1,373",813,37.19,69,50.47,49.53,0.0,0.0,0.0,0.0,20.17
GA,Worth,"3,932","2,735","1,197",30.44,71,53.75,46.25,0.0,0.0,0.0,0.0,25.63
HI,Hawaii,"36,483","21,459","15,024",41.18,71,49.55,50.45,47.74,0.94,6.4,44.92,18.01
HI,Honolulu,"152,494","67,377","85,117",55.82,74,53.77,46.23,21.58,1.23,5.53,71.66,10.49
HI,Kauai,"12,505","6,937","5,568",44.53,72,51.2,48.8,42.87,0.55,6.47,50.11,15.29
HI,Maui,"24,426","10,630","13,796",56.48,71,50.3,49.7,47.21,0.81,7.35,44.64,15.92
HI,UNKNOWN,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,Adair,"1,581","1,429",152,9.61,74,55.63,44.37,0.0,0.0,0.0,0.0,14.28
IA,Adams,914,897,17,1.86,74,53.07,46.93,0.0,0.0,0.0,0.0,14.83
IA,Allamakee,"3,270","2,828",442,13.52,74,53.71,46.29,0.0,0.0,0.0,0.0,13.22
IA,Appanoose,"3,131","2,596",535,17.09,72,55.86,44.14,0.0,0.0,0.0,0.0,24.31
IA,Audubon,"1,506","1,458",48,3.19,75,53.29,46.71,0.0,0.0,0.0,0.0,13.03
IA,Benton,"4,921","3,839","1,082",21.99,73,55.46,44.54,0.0,0.0,0.0,0.0,13.55
IA,Black Hawk,"23,736","15,793","7,943",33.46,70,55.11,44.89,88.6,7.85,0.87,2.68,25.02
IA,Boone,"5,419","4,547",872,16.09,73,54.56,45.44,97.03,0.4,0.53,2.05,17.37
